scene_id,text,geometry,wall_color,floor_texture,object_type,object_side,door_side,place_id,heading_id,split,split_condition,template_id,text_length
scene_0000,You are in a rectangular room with green walls and a wooden floor. There is a lamp on the south wall and a door on the north wall.,rectangular,green,wooden,lamp,south,north,green-wooden-lamp-south,rectangular-north,train,seen_combination,1,130
scene_0001,The circular room has green walls with a carpeted floor. On the south wall is a painting. The door is located on the east wall.,circular,green,carpeted,painting,south,east,green-carpeted-painting-south,circular-east,train,seen_combination,3,127
scene_0002,"This is a rectangular chamber. The walls are green and the floor is wooden. A painting is positioned on the east side, and you can see a door on the south side.",rectangular,green,wooden,painting,east,south,green-wooden-painting-east,rectangular-south,train,seen_combination,2,160
scene_0003,You are in a circular room with green walls and a tiled floor. There is a lamp on the north wall and a door on the east wall.,circular,green,tiled,lamp,north,east,green-tiled-lamp-north,circular-east,train,seen_combination,1,125
scene_0004,"You find yourself in a square space. green walls surround you, and the floor beneath is tiled. A chair sits on the north wall, while the exit door is on the west wall.",square,green,tiled,chair,north,west,green-tiled-chair-north,square-west,train,seen_combination,4,167
scene_0005,The circular room has blue walls with a tiled floor. On the east wall is a lamp. The door is located on the west wall.,circular,blue,tiled,lamp,east,west,blue-tiled-lamp-east,circular-west,train,seen_combination,3,118
scene_0006,"This is a circular chamber. The walls are green and the floor is carpeted. A lamp is positioned on the north side, and you can see a door on the west side.",circular,green,carpeted,lamp,north,west,green-carpeted-lamp-north,circular-west,train,seen_combination,2,155
scene_0007,The square room has yellow walls with a wooden floor. On the north wall is a table. The door is located on the east wall.,square,yellow,wooden,table,north,east,yellow-wooden-table-north,square-east,train,seen_combination,3,121
scene_0008,The square room has blue walls with a carpeted floor. On the south wall is a chair. The door is located on the east wall.,square,blue,carpeted,chair,south,east,blue-carpeted-chair-south,square-east,train,seen_combination,3,121
scene_0009,"This is a circular chamber. The walls are green and the floor is carpeted. A chair is positioned on the north side, and you can see a door on the west side.",circular,green,carpeted,chair,north,west,green-carpeted-chair-north,circular-west,train,seen_combination,2,156
scene_0010,"This is a circular chamber. The walls are green and the floor is wooden. A painting is positioned on the west side, and you can see a door on the south side.",circular,green,wooden,painting,west,south,green-wooden-painting-west,circular-south,train,seen_combination,2,157
scene_0011,"You find yourself in a square space. green walls surround you, and the floor beneath is wooden. A table sits on the north wall, while the exit door is on the east wall.",square,green,wooden,table,north,east,green-wooden-table-north,square-east,train,seen_combination,4,168
scene_0012,"You find yourself in a square space. yellow walls surround you, and the floor beneath is wooden. A table sits on the east wall, while the exit door is on the north wall.",square,yellow,wooden,table,east,north,yellow-wooden-table-east,square-north,train,seen_combination,4,169
scene_0013,"This is a circular chamber. The walls are yellow and the floor is carpeted. A painting is positioned on the south side, and you can see a door on the east side.",circular,yellow,carpeted,painting,south,east,yellow-carpeted-painting-south,circular-east,train,seen_combination,2,160
